国	ユーザー	新規ユーザー	セッション	直帰率	ページ/セッション	平均セッション時間	お問い合わせ（目標 1 のコンバージョン率）	お問い合わせ（目標 1 の完了数）	お問い合わせ（目標 1 の値）
Argentina	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Australia	2	1	2	0.00%	2.00	0.00	0.00%	0	0.00
Brazil	3	3	3	0.00%	6.00	50.00	0.00%	0	0.00
Cambodia	5	4	7	0.00%	10.86	184.71	0.00%	0	0.00
Chile	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
China	30	30	30	0.00%	2.80	7.33	0.00%	0	0.00
France	11	10	13	0.00%	2.15	8.08	0.00%	0	0.00
Germany	2	2	2	0.00%	9.00	400.50	0.00%	0	0.00
Hong Kong	2	2	2	0.00%	5.00	69.00	0.00%	0	0.00
Iceland	1	1	2	0.00%	12.00	61.00	0.00%	0	0.00
India	8	8	8	12.50%	3.38	97.50	0.00%	0	0.00
Indonesia	1	1	1	0.00%	22.00	751.00	0.00%	0	0.00
Ireland	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
Japan	2989	2950	3098	0.03%	2.45	15.19	0.03%	1	0.00
Kenya	1	1	1	0.00%	26.00	241.00	0.00%	0	0.00
Malawi	1	1	1	0.00%	6.00	139.00	0.00%	0	0.00
Malaysia	1	1	1	0.00%	6.00	84.00	0.00%	0	0.00
Morocco	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Nepal	1	0	1	0.00%	8.00	120.00	0.00%	0	0.00
Netherlands	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
Pakistan	2	2	2	0.00%	42.00	616.00	0.00%	0	0.00
Philippines	3	3	3	0.00%	3.33	5.67	0.00%	0	0.00
Poland	5	5	5	0.00%	4.00	25.00	0.00%	0	0.00
Singapore	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
South Korea	12	12	14	57.14%	3.57	131.00	0.00%	0	0.00
Switzerland	1	1	1	0.00%	16.00	227.00	0.00%	0	0.00
Taiwan	13	11	15	0.00%	4.93	226.93	0.00%	0	0.00
Thailand	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Turkey	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Ukraine	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
United Arab Emirates	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
United Kingdom	5	5	7	0.00%	9.14	41.71	0.00%	0	0.00
United States	23	23	27	0.00%	3.26	65.04	0.00%	0	0.00
Vietnam	9	9	10	0.00%	3.40	20.20	0.00%	0	0.00
	3143	3098	3268	0.31%	2.57	18.70	0.03%	1	0.00
