国	ユーザー	新規ユーザー	セッション	直帰率	ページ/セッション	平均セッション時間	お問い合わせ（目標 1 のコンバージョン率）	お問い合わせ（目標 1 の完了数）	お問い合わせ（目標 1 の値）
Japan	308	266	567	0.53%	5.49	165.22	0.00%	0	0.00
United States	9	9	11	0.00%	3.09	37.27	0.00%	0	0.00
Netherlands	8	8	8	0.00%	5.25	187.63	0.00%	0	0.00
Germany	3	3	3	0.00%	2.00	0.00	0.00%	0	0.00
South Korea	3	3	3	0.00%	4.00	7.67	0.00%	0	0.00
Macao	2	2	3	0.00%	9.33	140.00	0.00%	0	0.00
Argentina	1	0	2	0.00%	5.00	169.00	0.00%	0	0.00
Brazil	1	1	1	0.00%	8.00	65.00	0.00%	0	0.00
China	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
France	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Italy	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Morocco	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Malaysia	1	1	1	0.00%	4.00	23.00	0.00%	0	0.00
Nigeria	1	1	1	0.00%	4.00	31.00	0.00%	0	0.00
Nepal	1	1	1	0.00%	6.00	93.00	0.00%	0	0.00
Peru	1	1	1	0.00%	16.00	326.00	0.00%	0	0.00
Singapore	1	1	1	0.00%	4.00	33.00	0.00%	0	0.00
Turkey	1	1	1	0.00%	2.00	12.00	0.00%	0	0.00
	345	302	608	0.49%	5.42	159.46	0.00%	0	0.00
