国	ユーザー	新規ユーザー	セッション	直帰率	ページ/セッション	平均セッション時間	お問い合わせ（目標 1 のコンバージョン率）	お問い合わせ（目標 1 の完了数）	お問い合わせ（目標 1 の値）
Japan	398	364	487	0.21%	4.08	90.39	0.00%	0	0.00
United States	24	24	24	0.00%	2.92	81.29	0.00%	0	0.00
Canada	23	23	23	0.00%	2.00	0.00	0.00%	0	0.00
France	21	16	35	0.00%	3.43	81.77	0.00%	0	0.00
China	14	14	14	0.00%	3.71	84.50	0.00%	0	0.00
South Korea	13	13	13	84.62%	3.31	18.46	0.00%	0	0.00
Indonesia	6	6	7	0.00%	4.86	78.00	0.00%	0	0.00
Switzerland	4	4	4	0.00%	7.00	338.75	0.00%	0	0.00
Germany	4	3	11	0.00%	2.55	4.27	0.00%	0	0.00
Thailand	4	4	4	0.00%	6.50	214.00	0.00%	0	0.00
Taiwan	4	4	5	0.00%	2.80	9.80	0.00%	0	0.00
Argentina	2	0	4	0.00%	5.00	426.25	0.00%	0	0.00
Brazil	2	2	2	0.00%	4.00	28.50	0.00%	0	0.00
Cameroon	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
Hong Kong	2	2	2	0.00%	6.00	51.50	0.00%	0	0.00
Cambodia	2	2	2	0.00%	3.00	100.50	0.00%	0	0.00
Mexico	2	2	2	0.00%	6.00	78.50	0.00%	0	0.00
Malaysia	2	2	3	0.00%	8.00	432.33	0.00%	0	0.00
Philippines	2	2	3	0.00%	3.33	6.67	0.00%	0	0.00
South Sudan	2	2	2	0.00%	5.00	309.00	0.00%	0	0.00
Vietnam	2	2	2	0.00%	4.00	76.50	0.00%	0	0.00
Australia	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Cuba	1	1	1	0.00%	18.00	1097.00	0.00%	0	0.00
Algeria	1	1	1	0.00%	10.00	80.00	0.00%	0	0.00
United Kingdom	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
India	1	1	2	0.00%	7.00	59.50	0.00%	0	0.00
Malawi	1	1	2	0.00%	39.00	1277.00	0.00%	0	0.00
New Zealand	1	1	1	0.00%	4.00	25.00	0.00%	0	0.00
Peru	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Poland	1	1	1	100.00%	1.00	0.00	0.00%	0	0.00
Portugal	1	1	1	0.00%	2.00	2.00	0.00%	0	0.00
Russia	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Yemen	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
	547	505	665	1.95%	4.06	92.17	0.00%	0	0.00
