国	ユーザー	新規ユーザー	セッション	直帰率	ページ/セッション	平均セッション時間	お問い合わせ（目標 1 のコンバージョン率）	お問い合わせ（目標 1 の完了数）	お問い合わせ（目標 1 の値）
Vietnam	4077	4077	4227	4.61%	2.05	3.77	0.00%	0	0.00
France	3649	3652	3898	1.05%	3.15	43.35	0.08%	3	0.00
Japan	424	378	678	0.15%	6.04	208.02	0.00%	0	0.00
United States	165	165	167	0.60%	2.21	1.38	0.00%	0	0.00
Hong Kong	23	23	25	0.00%	2.00	0.12	0.00%	0	0.00
United Kingdom	13	13	13	0.00%	3.77	65.62	0.00%	0	0.00
China	12	12	12	16.67%	1.83	1.17	0.00%	0	0.00
Germany	12	12	13	0.00%	3.38	33.00	0.00%	0	0.00
Spain	11	11	11	0.00%	2.36	31.00	0.00%	0	0.00
India	11	11	11	0.00%	3.09	19.45	0.00%	0	0.00
South Korea	11	11	11	0.00%	3.64	24.45	0.00%	0	0.00
R?union	8	8	10	0.00%	2.60	9.40	0.00%	0	0.00
Belgium	7	7	7	0.00%	3.14	54.71	0.00%	0	0.00
Singapore	5	5	5	0.00%	2.40	8.40	0.00%	0	0.00
Brazil	4	4	4	0.00%	2.00	0.00	0.00%	0	0.00
Switzerland	4	4	4	0.00%	2.00	0.00	0.00%	0	0.00
Colombia	4	4	5	0.00%	2.80	74.20	0.00%	0	0.00
Martinique	4	4	4	0.00%	2.00	3.75	0.00%	0	0.00
Cote Divoire	3	3	3	0.00%	4.67	125.67	0.00%	0	0.00
Algeria	3	3	4	0.00%	2.00	0.00	0.00%	0	0.00
Italy	3	3	7	0.00%	2.00	0.00	0.00%	0	0.00
Cambodia	3	3	3	0.00%	2.00	0.00	0.00%	0	0.00
Tunisia	3	3	3	0.00%	2.00	1.67	0.00%	0	0.00
Argentina	2	0	4	0.00%	3.50	54.00	0.00%	0	0.00
Bangladesh	2	2	2	0.00%	7.00	70.00	0.00%	0	0.00
Czechia	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
French Guiana	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
Guadeloupe	2	2	2	0.00%	2.00	7.50	0.00%	0	0.00
Ireland	2	2	3	0.00%	2.00	0.00	0.00%	0	0.00
Mexico	2	2	3	0.00%	9.33	111.00	0.00%	0	0.00
Senegal	2	2	2	0.00%	3.50	91.50	0.00%	0	0.00
(not set)	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
Albania	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Armenia	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Austria	1	1	1	0.00%	4.00	586.00	0.00%	0	0.00
Australia	1	1	2	0.00%	2.00	0.00	0.00%	0	0.00
Canada	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Cameroon	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Egypt	1	1	1	0.00%	4.00	84.00	0.00%	0	0.00
Finland	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Georgia	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Hungary	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Iran	1	1	1	0.00%	8.00	59.00	0.00%	0	0.00
Laos	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Latvia	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Morocco	1	1	1	100.00%	1.00	0.00	0.00%	0	0.00
Monaco	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Moldova	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Macao	1	0	1	0.00%	6.00	35.00	0.00%	0	0.00
Malaysia	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
New Caledonia	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Netherlands	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Pakistan	1	1	1	0.00%	24.00	455.00	0.00%	0	0.00
Portugal	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Romania	1	1	1	0.00%	6.00	75.00	0.00%	0	0.00
Sweden	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Slovakia	1	1	2	0.00%	11.00	69.50	0.00%	0	0.00
Chad	1	1	1	0.00%	4.00	56.00	0.00%	0	0.00
Thailand	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Taiwan	1	1	1	0.00%	8.00	76.00	0.00%	0	0.00
Ukraine	1	1	1	0.00%	6.00	105.00	0.00%	0	0.00
	8506	8460	9178	2.63%	2.83	36.19	0.03%	3	0.00
