国	ユーザー	新規ユーザー	セッション	直帰率	ページ/セッション	平均セッション時間	お問い合わせ（目標 1 のコンバージョン率）	お問い合わせ（目標 1 の完了数）	お問い合わせ（目標 1 の値）
Australia	5	5	5	0.00%	2.80	32.00	0.00%	0	0.00
Austria	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Bangladesh	1	1	1	0.00%	24.00	484.00	0.00%	0	0.00
Belgium	1	1	1	0.00%	3.00	8.00	0.00%	0	0.00
Bermuda	1	1	1	0.00%	12.00	387.00	0.00%	0	0.00
Cambodia	5	1	28	0.00%	3.43	264.29	0.00%	0	0.00
Canada	4	4	4	0.00%	2.50	15.75	0.00%	0	0.00
Chile	1	1	1	0.00%	6.00	43.00	0.00%	0	0.00
China	21	21	23	0.00%	3.13	70.78	0.00%	0	0.00
Egypt	1	1	1	0.00%	2.00	7.00	0.00%	0	0.00
Finland	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
France	17	17	21	0.00%	3.57	23.52	0.00%	0	0.00
Germany	3	3	3	0.00%	2.00	0.33	0.00%	0	0.00
Guam	1	0	1	0.00%	2.00	0.00	0.00%	0	0.00
Hong Kong	7	6	9	0.00%	8.67	253.89	0.00%	0	0.00
India	12	12	13	0.00%	3.08	67.23	0.00%	0	0.00
Indonesia	24	24	31	0.00%	3.74	92.03	0.00%	0	0.00
Iraq	1	1	1	0.00%	2.00	15.00	0.00%	0	0.00
Ireland	2	2	2	0.00%	2.00	6.00	0.00%	0	0.00
Israel	1	1	2	0.00%	4.00	8.00	0.00%	0	0.00
Italy	7	7	7	0.00%	3.43	7.71	0.00%	0	0.00
Japan	4263	4215	4469	0.04%	2.50	20.52	0.02%	1	0.00
Kenya	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Malaysia	1	1	1	0.00%	2.00	1.00	0.00%	0	0.00
Mongolia	2	2	2	0.00%	9.00	65.00	0.00%	0	0.00
Netherlands	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
North Macedonia	1	1	1	0.00%	22.00	552.00	0.00%	0	0.00
Norway	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Pakistan	2	1	5	0.00%	8.40	200.40	0.00%	0	0.00
Philippines	5	5	6	0.00%	7.33	122.33	0.00%	0	0.00
Poland	2	2	7	0.00%	9.71	349.43	0.00%	0	0.00
Serbia	2	2	2	0.00%	4.00	109.00	0.00%	0	0.00
Singapore	4	4	4	0.00%	11.50	55.50	0.00%	0	0.00
South Korea	29	28	34	29.41%	4.94	91.50	0.00%	0	0.00
Sudan	2	2	2	0.00%	8.00	661.50	0.00%	0	0.00
Sweden	5	5	5	0.00%	3.20	10.40	0.00%	0	0.00
Switzerland	2	2	7	0.00%	5.43	34.14	0.00%	0	0.00
Taiwan	33	33	36	0.00%	4.56	67.00	0.00%	0	0.00
Thailand	8	8	10	0.00%	10.20	459.90	0.00%	0	0.00
Turkey	2	2	2	0.00%	10.00	275.50	0.00%	0	0.00
United Kingdom	13	12	14	0.00%	4.29	47.36	0.00%	0	0.00
United States	44	43	46	4.35%	3.48	115.52	0.00%	0	0.00
Vietnam	8	7	9	0.00%	5.56	148.22	0.00%	0	0.00
Zambia	1	1	1	0.00%	2.00	28.00	0.00%	0	0.00
	4549	4490	4823	0.29%	2.66	27.66	0.02%	1	0.00
