国	ユーザー	新規ユーザー	セッション	直帰率	ページ/セッション	平均セッション時間	お問い合わせ（目標 1 のコンバージョン率）	お問い合わせ（目標 1 の完了数）	お問い合わせ（目標 1 の値）
Australia	2	3	7	0.00%	7.71	130.71	0.00%	0	0.00
Belgium	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Bolivia	1	1	1	0.00%	6.00	20.00	0.00%	0	0.00
Brazil	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Cambodia	14	13	29	0.00%	3.76	68.34	0.00%	0	0.00
Chile	2	2	3	0.00%	2.67	30.33	0.00%	0	0.00
China	19	19	20	5.00%	2.25	53.90	0.00%	0	0.00
Colombia	4	4	4	0.00%	2.00	0.00	0.00%	0	0.00
Czechia	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
Denmark	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
France	17	15	19	0.00%	2.53	8.63	0.00%	0	0.00
Germany	4	4	4	0.00%	3.00	3.75	0.00%	0	0.00
Hong Kong	3	3	3	0.00%	8.67	321.33	0.00%	0	0.00
Hungary	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
India	14	14	15	0.00%	4.40	39.67	0.00%	0	0.00
Indonesia	5	5	5	0.00%	4.80	56.20	0.00%	0	0.00
Ireland	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Italy	3	3	3	0.00%	8.67	231.67	0.00%	0	0.00
Japan	1494	1439	1749	0.00%	3.54	65.40	0.00%	0	0.00
Kenya	1	1	2	0.00%	3.00	55.00	0.00%	0	0.00
Malawi	1	0	1	0.00%	28.00	468.00	0.00%	0	0.00
Malaysia	4	4	4	0.00%	13.00	84.50	0.00%	0	0.00
Netherlands	1	1	1	0.00%	4.00	50.00	0.00%	0	0.00
New Zealand	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Pakistan	5	5	7	0.00%	12.29	188.86	0.00%	0	0.00
Philippines	2	2	3	0.00%	13.33	146.00	0.00%	0	0.00
Poland	2	3	3	0.00%	6.00	42.67	0.00%	0	0.00
Russia	2	2	5	0.00%	3.60	31.80	0.00%	0	0.00
Singapore	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
South Korea	21	21	22	36.36%	4.64	31.95	0.00%	0	0.00
Spain	1	1	1	0.00%	10.00	349.00	0.00%	0	0.00
Sri Lanka	2	2	3	0.00%	7.33	103.00	0.00%	0	0.00
Sweden	6	6	6	0.00%	4.00	296.00	0.00%	0	0.00
Switzerland	2	2	2	0.00%	4.00	5.50	0.00%	0	0.00
Taiwan	15	14	19	0.00%	5.26	110.26	0.00%	0	0.00
Thailand	7	6	7	14.29%	6.71	202.71	0.00%	0	0.00
Uganda	1	1	1	0.00%	2.00	1.00	0.00%	0	0.00
United Kingdom	7	7	7	14.29%	3.57	42.14	14.29%	1	0.00
United States	24	24	26	3.85%	3.04	21.96	0.00%	0	0.00
Vietnam	2	2	2	0.00%	17.00	666.00	0.00%	0	0.00
	1697	1638	1993	0.60%	3.69	66.76	0.05%	1	0.00
