国	ユーザー	新規ユーザー	セッション	直帰率	ページ/セッション	平均セッション時間	お問い合わせ（目標 1 のコンバージョン率）	お問い合わせ（目標 1 の完了数）	お問い合わせ（目標 1 の値）
Japan	573	548	774	0.00%	4.91	139.02	0.13%	1	0.00
United States	27	26	31	0.00%	3.94	43.32	0.00%	0	0.00
France	21	16	24	4.17%	2.29	17.88	0.00%	0	0.00
South Korea	13	13	13	61.54%	2.15	9.62	0.00%	0	0.00
China	8	8	8	0.00%	4.00	240.75	0.00%	0	0.00
Taiwan	7	7	10	0.00%	8.00	70.80	0.00%	0	0.00
Indonesia	6	6	6	0.00%	14.50	235.50	0.00%	0	0.00
Philippines	6	5	7	0.00%	6.86	72.00	0.00%	0	0.00
Germany	3	3	3	0.00%	3.33	11.33	0.00%	0	0.00
Cambodia	3	3	3	0.00%	23.33	604.33	0.00%	0	0.00
Argentina	2	2	2	0.00%	3.00	13.50	0.00%	0	0.00
Brazil	2	2	2	0.00%	15.00	272.50	0.00%	0	0.00
Switzerland	2	2	2	0.00%	3.00	5.50	0.00%	0	0.00
Cuba	2	2	4	0.00%	10.25	67.25	0.00%	0	0.00
United Kingdom	2	2	2	0.00%	6.00	218.00	0.00%	0	0.00
Hong Kong	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
India	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
Malaysia	2	2	2	0.00%	7.00	118.00	0.00%	0	0.00
Nepal	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
Turkey	2	2	3	0.00%	2.67	4.67	0.00%	0	0.00
Australia	1	0	1	0.00%	12.00	159.00	0.00%	0	0.00
Bhutan	1	1	1	0.00%	4.00	86.00	0.00%	0	0.00
Canada	1	1	1	0.00%	6.00	48.00	0.00%	0	0.00
Colombia	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Netherlands	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Paraguay	1	1	1	0.00%	8.00	301.00	0.00%	0	0.00
Romania	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Saudi Arabia	1	1	1	0.00%	4.00	536.00	0.00%	0	0.00
Thailand	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Vietnam	1	1	1	0.00%	2.00	15.00	0.00%	0	0.00
	697	664	912	0.99%	4.94	130.02	0.11%	1	0.00
