国	ユーザー	新規ユーザー	セッション	直帰率	ページ/セッション	平均セッション時間	お問い合わせ（目標 1 のコンバージョン率）	お問い合わせ（目標 1 の完了数）	お問い合わせ（目標 1 の値）
Argentina	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Australia	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
Bangladesh	3	3	3	0.00%	2.00	0.00	0.00%	0	0.00
Brazil	4	4	4	0.00%	2.00	0.00	0.00%	0	0.00
Cambodia	3	1	12	8.33%	3.25	46.58	0.00%	0	0.00
Canada	9	9	11	0.00%	5.27	109.18	0.00%	0	0.00
China	19	19	20	0.00%	2.70	16.20	0.00%	0	0.00
Egypt	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
France	17	15	29	0.00%	5.17	111.45	0.00%	0	0.00
Germany	9	9	13	0.00%	5.08	122.92	0.00%	0	0.00
India	8	7	10	0.00%	3.50	92.90	0.00%	0	0.00
Indonesia	7	7	11	0.00%	8.45	293.82	0.00%	0	0.00
Ireland	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
Italy	2	2	2	0.00%	11.00	32.00	0.00%	0	0.00
Japan	737	673	947	0.00%	4.63	99.04	0.00%	0	0.00
Kenya	4	4	4	0.00%	2.00	0.00	0.00%	0	0.00
Malaysia	7	7	7	0.00%	2.00	0.00	0.00%	0	0.00
Mexico	1	1	1	0.00%	8.00	70.00	0.00%	0	0.00
Myanmar (Burma)	1	1	2	0.00%	6.00	95.00	0.00%	0	0.00
Nepal	2	2	2	0.00%	4.00	43.00	0.00%	0	0.00
Netherlands	2	2	2	0.00%	8.00	62.00	0.00%	0	0.00
Norway	1	1	1	0.00%	20.00	412.00	0.00%	0	0.00
Pakistan	3	2	10	0.00%	5.00	86.10	0.00%	0	0.00
Philippines	4	4	4	0.00%	5.00	21.50	0.00%	0	0.00
Poland	1	0	1	0.00%	22.00	289.00	0.00%	0	0.00
Russia	1	1	1	0.00%	4.00	15.00	0.00%	0	0.00
Singapore	6	6	7	0.00%	3.43	6.86	0.00%	0	0.00
South Korea	17	17	17	47.06%	3.18	10.88	0.00%	0	0.00
Spain	3	3	3	0.00%	3.33	21.00	0.00%	0	0.00
Sri Lanka	2	2	3	0.00%	2.67	11.67	0.00%	0	0.00
Sweden	1	1	1	0.00%	8.00	50.00	0.00%	0	0.00
Switzerland	2	2	2	0.00%	9.00	1186.50	0.00%	0	0.00
Taiwan	38	36	46	0.00%	6.78	79.26	0.00%	0	0.00
Thailand	7	6	8	0.00%	5.00	124.63	0.00%	0	0.00
Uganda	1	1	1	0.00%	10.00	1405.00	0.00%	0	0.00
United Kingdom	11	11	12	0.00%	3.33	19.92	0.00%	0	0.00
United States	33	33	34	2.94%	4.44	85.21	0.00%	0	0.00
Vietnam	4	3	5	0.00%	8.00	123.60	0.00%	0	0.00
	977	902	1243	0.80%	4.68	96.23	0.00%	0	0.00
