国	ユーザー	新規ユーザー	セッション	直帰率	ページ/セッション	平均セッション時間	お問い合わせ（目標 1 のコンバージョン率）	お問い合わせ（目標 1 の完了数）	お問い合わせ（目標 1 の値）
Japan	3031	3008	3143	0.06%	2.39	18.16	0.00%	0	0.00
China	24	24	24	0.00%	2.58	4.79	0.00%	0	0.00
United States	18	18	18	5.56%	3.50	66.06	0.00%	0	0.00
South Korea	15	14	15	66.67%	2.53	4.80	0.00%	0	0.00
France	11	9	12	0.00%	3.67	30.83	0.00%	0	0.00
Taiwan	9	8	12	0.00%	6.33	139.08	0.00%	0	0.00
Indonesia	4	4	11	0.00%	4.55	55.91	0.00%	0	0.00
United Kingdom	3	3	3	0.00%	2.00	0.33	0.00%	0	0.00
Sweden	3	3	4	0.00%	11.50	256.75	0.00%	0	0.00
Singapore	3	3	3	0.00%	2.00	0.00	0.00%	0	0.00
Thailand	3	3	3	0.00%	2.67	3.33	0.00%	0	0.00
Australia	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
Canada	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
Hong Kong	2	2	2	0.00%	6.00	135.00	0.00%	0	0.00
Mexico	2	2	2	0.00%	4.00	37.50	0.00%	0	0.00
Russia	2	2	2	0.00%	5.00	21.00	0.00%	0	0.00
Turkey	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
(not set)	2	3	3	0.00%	2.00	0.00	0.00%	0	0.00
Austria	1	1	2	0.00%	4.00	8.00	0.00%	0	0.00
Chile	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Finland	1	1	1	0.00%	4.00	9.00	0.00%	0	0.00
India	1	1	1	0.00%	6.00	59.00	0.00%	0	0.00
Iceland	1	1	1	0.00%	10.00	73.00	0.00%	0	0.00
Kenya	1	1	1	0.00%	6.00	368.00	0.00%	0	0.00
Cambodia	1	1	1	0.00%	8.00	807.00	0.00%	0	0.00
Sri Lanka	1	1	1	0.00%	20.00	54.00	0.00%	0	0.00
Malaysia	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Nepal	1	0	1	0.00%	4.00	9.00	0.00%	0	0.00
Philippines	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Romania	1	1	1	0.00%	2.00	1.00	0.00%	0	0.00
Vietnam	1	1	1	0.00%	12.00	64.00	0.00%	0	0.00
	3151	3124	3277	0.40%	2.45	19.53	0.00%	0	0.00
