国	ユーザー	新規ユーザー	セッション	直帰率	ページ/セッション	平均セッション時間	お問い合わせ（目標 1 のコンバージョン率）	お問い合わせ（目標 1 の完了数）	お問い合わせ（目標 1 の値）
Japan	441	420	551	0.36%	4.17	103.82	0.00%	0	0.00
France	53	43	183	0.00%	2.54	59.43	0.00%	0	0.00
China	16	16	16	0.00%	2.13	59.88	0.00%	0	0.00
United States	14	14	14	0.00%	3.86	137.36	0.00%	0	0.00
South Korea	13	13	13	53.85%	2.23	14.62	0.00%	0	0.00
Germany	5	5	6	0.00%	4.00	49.33	0.00%	0	0.00
Pakistan	4	4	5	0.00%	10.00	161.00	0.00%	0	0.00
Brazil	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
Switzerland	2	2	2	0.00%	2.00	0.00	0.00%	0	0.00
United Kingdom	2	2	2	0.00%	3.00	27.50	0.00%	0	0.00
Hong Kong	2	2	2	0.00%	3.00	5.50	0.00%	0	0.00
Argentina	1	0	1	0.00%	2.00	0.00	0.00%	0	0.00
Bangladesh	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Canada	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Finland	1	1	1	100.00%	1.00	0.00	0.00%	0	0.00
Lebanon	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Nepal	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Philippines	1	1	1	0.00%	4.00	8.00	0.00%	0	0.00
Poland	1	1	1	100.00%	1.00	0.00	0.00%	0	0.00
Saudi Arabia	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Singapore	1	1	3	0.00%	3.33	254.00	0.00%	0	0.00
Turkey	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
Vietnam	1	1	1	0.00%	6.00	42.00	0.00%	0	0.00
(not set)	1	1	1	0.00%	2.00	0.00	0.00%	0	0.00
	567	535	811	1.36%	3.71	90.17	0.00%	0	0.00
